M1,M2,M3,Inclination,Orientation
-149.079034630679,152.08076051937,-39.2619329113397,-30.4577774876902,-22.3391775250706
-159.775010750181,165.696529562858,-39.2888046319313,-32.5621941734262,-22.9831820867976
-169.347989591227,178.376658526899,-39.0603663590126,-34.3587606358384,-23.536773908453
-177.850110313173,190.129168820622,-39.0021538470273,-35.8739475250618,-23.9739980019174
-185.244130659337,200.658414221741,-39.5082474674664,-37.1091299398049,-24.4325361253606
-191.526612882946,210.082996993848,-40.270682405447,-38.1130665884331,-24.9717467063582
-196.75542572131,218.423543617568,-40.0982794048921,-38.9574344911174,-25.2386877431096
-200.814831699812,225.651406203143,-39.5642254440507,-39.6181694204623,-25.306067579817
-203.777596458433,231.784919400018,-39.3571012011109,-40.0671391487268,-25.4859763274881
-205.627104221116,236.87278462078,-39.4007605850999,-40.2931137031264,-25.5479703609213
-206.393148793206,240.79009706609,-39.5149510736694,-40.405298839413,-25.632137861026
-206.032185382273,243.606184629158,-39.6660973400249,-40.3381481858236,-25.6390133545675
-205.228325595705,245.319901394394,-39.4802298312845,-40.1790378061158,-25.5569657983048
-204.6404708979,245.933539192979,-39.8194781417815,-40.0186669192587,-25.5838375188964
-204.827828096908,245.927809615028,-39.6078848280397,-40.0609512045394,-25.5507778541174
-205.062740792912,245.067227006741,-39.5362078078688,-40.0606074298623,-25.5837802231169
-204.999142477652,244.371656243452,-39.8362658051788,-40.0323606105623,-25.5753577435285
-205.263276021208,244.780175151381,-39.9907925225256,-40.0598625847286,-25.6876001755946
-205.498188717211,245.653935788955,-39.8217126771825,-40.1226014632954,-25.6469774679199
-205.745706484708,245.584607895744,-39.4836102822758,-40.2094045692577,-25.5959269283737
-205.793834939499,245.110771799171,-39.2160389919497,-40.2375367969987,-25.5958123368147
-205.625958305526,244.984148126447,-39.3134418171219,-40.1516504235086,-25.5661904188064
-205.601321120335,245.5427819767,-39.4846989020865,-40.1564059732081,-25.6025732387972
-205.152122208952,245.420741966337,-40.2953195906376,-39.9799922680874,-25.7288531368441
-204.849027535328,244.471350899805,-40.2886159844346,-39.9886439307938,-25.7604231113558
-205.239784751607,244.390563850692,-39.629141562239,-40.0555654012651,-25.6202203388873
-205.627104221116,245.133117153181,-39.5967121510346,-40.1405923380625,-25.6603846803259
-205.42771490841,245.153170676011,-40.0881953476978,-40.0316157654287,-25.7067942617315
-204.964192052149,245.327922803526,-40.3479744120101,-39.9397706308692,-25.8229328068045
-205.165873196035,245.299847871564,-39.8855401755601,-40.0113903552605,-25.6827873301155
-205.262130105617,245.071810669102,-39.9493676739376,-40.0040564954829,-25.7218057559639
-205.609342529467,244.902215161743,-39.8497303133644,-40.0423300761976,-25.7176231640595
-206.32553977338,244.742359936902,-39.4836102822758,-40.2318645148269,-25.7457553918004
-206.349031042981,244.604850066071,-39.1813177495648,-40.2309477823547,-25.6995749935129
-205.691848451966,244.865545862855,-39.1163443355969,-40.1632241709702,-25.6360912698124
-204.938408951369,244.715430920531,-39.320145423325,-40.0363713151282,-25.6127718875506
-204.534473705801,245.098166727678,-39.8598143705587,-39.9200608827167,-25.6237153814376
-205.082794315741,245.114209545942,-39.9986420443189,-40.0058326646478,-25.7921076774265
-205.711329017,245.125095744049,-39.7926064211898,-40.0732125013552,-25.7239829955854
-206.330123435741,245.437930700191,-39.2104240055574,-40.2613718412761,-25.7761794507219
-206.136463700987,245.123949828459,-39.029025567619,-40.241031839549,-25.619189014856
-205.468394911865,244.983002210857,-39.4668226188784,-40.1258673227277,-25.7018668246934
-205.155559955723,245.516998875919,-39.7780532931935,-40.0426738508747,-25.7133832763755
-205.622520558755,245.559970710554,-40.183363637469,-40.0177501867865,-25.818291848664
-206.264233289301,244.864399947265,-39.5821590230383,-40.1894656379872,-25.8939222776212
-206.133025954216,244.497134000586,-38.9484104058441,-40.2312915570318,-25.6563166799805
-0.143312214422687,0.13099648661635,-0.111962828662104,0.0935410896330581,-0.00666922873532214
-1.27861261561395,1.24054529970545,-1.18120406086375,0.0695398875950279,-0.318192111525902
-3.49882980132384,3.45964521771484,-3.03754721004196,0.025255979609367,-0.996688732519823
-6.83979827093323,6.78382029434895,-4.2344273961805,-0.211175054551368,-1.76643461196628
-11.2679025906018,11.2488803918035,-4.39229445747289,-0.917437210297328,-2.56254800914466
-16.7898979327341,16.7809597911301,-3.90525741329989,-1.9473976019804,-3.38726345945596
-23.5233552368911,23.40463838174,-3.40590177653157,-3.21644182241566,-4.30766286155412
-31.2185222001751,31.1222652905931,-3.68804911316579,-4.51963432744072,-5.36580131760172
-40.0198987785182,39.9549826603299,-4.30719876574006,-6.13067705578957,-6.06314825005545
-49.9151663793251,49.8737415307372,-4.07207980493018,-8.67546910286312,-6.89336409520001
-60.9088513691773,60.9088513691773,-3.75186515238746,-11.5993873229747,-7.51364820420864
-73.0051363399792,73.1890557922162,-4.13589584415185,-14.6374960316559,-8.4371415784005
-86.3756794471521,86.4295374798944,-4.51993226549418,-17.9629430745952,-9.55142989837092
-100.126093572497,100.178805689649,-4.45162996673664,-21.1728245302566,-10.348987149193
-113.880518402407,113.924063194837,-4.30608149803956,-24.2442793826144,-11.1047184809706
-127.475088007476,127.795371414954,-3.90973221367986,-27.3541797030255,-11.8876653080169
-140.10307781216,140.683484058627,-3.83359758186287,-30.1063824719364,-12.5569373085092
-151.651042173021,152.473809566829,-3.91645300861674,-32.601040711936,-13.2686081858412
-162.191173772248,163.188693293571,-4.0261744263843,-34.6129820095379,-13.8620778700377
-171.535542453037,172.797195517915,-4.5132114705573,-36.3601595100099,-14.4523389905814
-179.78269695615,181.329110045208,-4.27249471208899,-37.9492579548052,-14.9710376825134
-186.897113898289,188.756361943489,-4.13813610913081,-39.2104526534472,-15.1911680674026
-192.910305958187,195.187813193832,-3.8089661262502,-40.335168805289,-15.5764821846281
-197.856077645756,200.417771947786,-3.40590177653157,-41.0997236871115,-15.6127504130599
-201.646766418342,204.559110890992,-3.75634568234538,-41.7154814295386,-15.9093706635991
-204.329354815144,207.585473964873,-4.17060562738087,-42.1246878868211,-16.061892028663
-205.913583118681,209.545562582015,-4.18292421997619,-42.3880765852427,-16.2379619591067
-206.396586539976,210.367757018028,-4.0866329329265,-42.4403876319382,-16.2023239842495
-205.832223111773,210.099039812112,-3.5402546499118,-42.4205632922266,-16.1815829120658
-204.936117120188,209.294034109953,-3.36895172832358,-42.1892602303323,-15.9819644162422
-204.769386401805,208.999533803256,-3.90637468100039,-42.1299018027568,-16.0212693209882
-204.83355767486,209.329557493251,-4.47626142234931,-42.0818306437453,-16.2340658460998
-205.27358926152,209.275699460509,-4.04072755438062,-42.1170675481458,-16.1676600376441
-205.45006026242,209.267105093582,-3.78321740293702,-42.1415901417774,-16.1372359787227
-205.553192665544,209.1943394536,-3.72051863141585,-42.1868538075928,-16.0963840879298
-205.44776843124,209.616609348612,-4.08215813254653,-42.1600966785602,-16.1352879222192
-205.063886708502,209.900796414997,-4.1470914394687,-42.1014830961183,-16.1886302929459
-205.114306994474,209.422376656062,-4.09782852824336,-42.0635532900806,-16.1413612748476
